,username,followers,hashtag
0,nattcody,81400.0,tbsinfluencers
1,throwsumchlo,38800.0,tbsinfluencers
2,kaseyebb,35100.0,tbsinfluencers
3,britbratzbeauty_,28000.0,tbsinfluencers
4,cherry.fr,23800.0,tbsinfluencers
5,marykatewichalonis,22500.0,tbsinfluencers
6,logan_roo22,12300.0,tbsinfluencers
7,ocean.cold,12100.0,tbsinfluencers
8,emmagradt,9037.0,tbsinfluencers
9,jeanenesplitt,8512.0,tbsinfluencers
10,grecia_mlg,8248.0,tbsinfluencers
11,shayna_thalken,7641.0,tbsinfluencers
12,lexsaucin,7443.0,tbsinfluencers
13,michellelieats,7361.0,tbsinfluencers
14,_hannnn_,7194.0,tbsinfluencers
15,mackenziemeyerrr,7163.0,tbsinfluencers
16,emmagnone,6813.0,tbsinfluencers
17,emmarupard,6692.0,tbsinfluencers
18,kattttiieeee,6625.0,tbsinfluencers
19,torin.ives,6594.0,tbsinfluencers
20,stephkimmi,6535.0,tbsinfluencers
21,parkerwebster,6336.0,tbsinfluencers
22,jpk.pnk,6330.0,tbsinfluencers
23,klaughlinn,6166.0,tbsinfluencers
24,payytonnicole,6152.0,tbsinfluencers
25,aubreyyalbert,6048.0,tbsinfluencers
26,kyrabeaman,6039.0,tbsinfluencers
27,makaylul,5964.0,tbsinfluencers
28,camillecheffer,5964.0,tbsinfluencers
29,lexiwright0,5963.0,tbsinfluencers
30,allenw.wang,5874.0,tbsinfluencers
31,austnlee_,5661.0,tbsinfluencers
32,sarrahdraws,5577.0,tbsinfluencers
33,logan.flemingg,5262.0,tbsinfluencers
34,macimartin3,5133.0,tbsinfluencers
35,sameeybrina,5081.0,tbsinfluencers
36,kate.nash,5048.0,tbsinfluencers
37,rileysnyderrr,4974.0,tbsinfluencers
38,jimenax10,4754.0,tbsinfluencers
39,cdags5,4738.0,tbsinfluencers
40,elainawags,4712.0,tbsinfluencers
41,izabellavandenberg,4577.0,tbsinfluencers
42,vpagnani,4350.0,tbsinfluencers
43,katrenavt,4292.0,tbsinfluencers
44,ashleybisconti,4253.0,tbsinfluencers
45,erindeshy,4198.0,tbsinfluencers
46,p.nkyjanae,4155.0,tbsinfluencers
47,thejazminroze,3947.0,tbsinfluencers
48,amanidaneese,3803.0,tbsinfluencers
49,elanagracee,3722.0,tbsinfluencers
50,sabrina.carrier,3721.0,tbsinfluencers
51,lealefebure,3705.0,tbsinfluencers
52,abbyhhughes,3681.0,tbsinfluencers
53,biancakajy,3610.0,tbsinfluencers
54,kaitlynxjane,3581.0,tbsinfluencers
55,miaxcat,3558.0,tbsinfluencers
56,cecilyjcronin,3533.0,tbsinfluencers
57,darby.pickford,3493.0,tbsinfluencers
58,tonyluflops,3401.0,tbsinfluencers
59,jacksonamirshahi,3395.0,tbsinfluencers
60,toritermini,3386.0,tbsinfluencers
61,katihozayin,3354.0,tbsinfluencers
62,foodie.enthusiasts,3353.0,tbsinfluencers
63,maddiegovedich,3328.0,tbsinfluencers
64,dearstiney,3300.0,tbsinfluencers
65,reahgan.elizabeth,3298.0,tbsinfluencers
66,annie.vukotich,3267.0,tbsinfluencers
67,sydneydosik,3241.0,tbsinfluencers
68,lovee_neacyy,3229.0,tbsinfluencers
69,itsalexamorgan,3224.0,tbsinfluencers
70,jessica.clark,3184.0,tbsinfluencers
71,meaganbown,3183.0,tbsinfluencers
72,emilkakaluta,3175.0,tbsinfluencers
73,jada_arianna,3152.0,tbsinfluencers
74,lyradurr,3128.0,tbsinfluencers
75,wowinnerj,3098.0,tbsinfluencers
76,shutupsamm,3082.0,tbsinfluencers
77,kristencab26,3079.0,tbsinfluencers
78,natasha_easter,3059.0,tbsinfluencers
79,alyssabattle,3030.0,tbsinfluencers
80,jasminereyz,3029.0,tbsinfluencers
81,langelamartinezl,3008.0,tbsinfluencers
82,maddiekelllyyy,3004.0,tbsinfluencers
83,rach.lyo,3000.0,tbsinfluencers
84,emmacolllinss,2982.0,tbsinfluencers
85,amyxren,2970.0,tbsinfluencers
86,chels.ea.morris,2873.0,tbsinfluencers
87,imtayok,2859.0,tbsinfluencers
88,angela.recine,2855.0,tbsinfluencers
89,_kath.r,2853.0,tbsinfluencers
90,pmendyx3,2841.0,tbsinfluencers
91,meg.ravi,2837.0,tbsinfluencers
92,sterlinggroberts,2807.0,tbsinfluencers
93,alana.herceg,2806.0,tbsinfluencers
94,abbyy.greene,2785.0,tbsinfluencers
95,ashtyngrace7,2780.0,tbsinfluencers
96,larkynparry,2765.0,tbsinfluencers
97,kaleighafinch,2750.0,tbsinfluencers
98,mikaylaaclark,2744.0,tbsinfluencers
99,pingsterr,2736.0,tbsinfluencers
100,katelynpatthana,2700.0,tbsinfluencers
101,kayleemzuniga,2641.0,tbsinfluencers
102,adi.thi,2618.0,tbsinfluencers
103,kierstencrouse,2614.0,tbsinfluencers
104,mindfullymurphy,2610.0,tbsinfluencers
105,christine_wilbur,2600.0,tbsinfluencers
106,ninaechuang,2585.0,tbsinfluencers
107,kamsi.u,2502.0,tbsinfluencers
108,meredith_rideout,2478.0,tbsinfluencers
109,mariaebbrunetta,2473.0,tbsinfluencers
110,alannaherrey,2455.0,tbsinfluencers
111,abigailgraceross,2433.0,tbsinfluencers
112,rachheldickk,2428.0,tbsinfluencers
113,caitlynrogers_,2424.0,tbsinfluencers
114,sophia.salemi,2408.0,tbsinfluencers
115,miaaa_10,2382.0,tbsinfluencers
116,ellieegarciaa,2360.0,tbsinfluencers
117,van_phann,2351.0,tbsinfluencers
118,shak.ay,2344.0,tbsinfluencers
119,krystaltruong,2332.0,tbsinfluencers
120,soph.neilsen,2327.0,tbsinfluencers
121,dharakpatel1,2300.0,tbsinfluencers
122,chloe.kruger,2292.0,tbsinfluencers
123,genriv_,2265.0,tbsinfluencers
124,quannaharnold,2262.0,tbsinfluencers
125,avawylie1,2256.0,tbsinfluencers
126,lexiemcclellan,2251.0,tbsinfluencers
127,erin_gemmell,2247.0,tbsinfluencers
128,devinevanss,2230.0,tbsinfluencers
129,mxggieheller,2193.0,tbsinfluencers
130,julianna_merry,2173.0,tbsinfluencers
131,kylieroseolp,2158.0,tbsinfluencers
132,wardjacy,2153.0,tbsinfluencers
133,jessicanaranjo__,2146.0,tbsinfluencers
134,bridgetmotley,2135.0,tbsinfluencers
135,thisistavishi,2132.0,tbsinfluencers
136,beyon_slayy,2119.0,tbsinfluencers
137,readwithjinger,2118.0,tbsinfluencers
138,rielly_obrien,2113.0,tbsinfluencers
139,ray.star._,2109.0,tbsinfluencers
140,sophiemalinosky,2091.0,tbsinfluencers
141,unt2025,2082.0,tbsinfluencers
142,rudra16patel,2080.0,tbsinfluencers
143,sadiegees,2076.0,tbsinfluencers
144,gabrielle.brown,2062.0,tbsinfluencers
145,wildflowerandfox,2059.0,tbsinfluencers
146,ashley.moyer,2056.0,tbsinfluencers
147,maddyisalwayshungry,2052.0,tbsinfluencers
148,cameronnikki_,2051.0,tbsinfluencers
149,natalia.per,2042.0,tbsinfluencers
150,ashleyshannon96,2032.0,tbsinfluencers
151,noelledougherty,2029.0,tbsinfluencers
152,kendallrg23,2024.0,tbsinfluencers
153,adelina_miller,2023.0,tbsinfluencers
154,graceglenn7,2016.0,tbsinfluencers
155,abby_mixon,1996.0,tbsinfluencers
156,stephh_pena99,1986.0,tbsinfluencers
157,samantha.hunn,1972.0,tbsinfluencers
158,kenamcc,1948.0,tbsinfluencers
159,gigiiparry,1943.0,tbsinfluencers
160,christianhsings,1911.0,tbsinfluencers
161,sydneyminear,1907.0,tbsinfluencers
162,lulu.birdee,1884.0,tbsinfluencers
163,thejordandrew,1844.0,tbsinfluencers
164,bellinibunbun,1822.0,tbsinfluencers
165,mjcachur.photography,1805.0,tbsinfluencers
166,talyaaaaaa,1789.0,tbsinfluencers
167,sami.zilbs,1777.0,tbsinfluencers
168,lovelylavae,1775.0,tbsinfluencers
169,aaliyahshearer,1738.0,tbsinfluencers
170,juliap_123_,1721.0,tbsinfluencers
171,_jackroman_,1713.0,tbsinfluencers
172,macybrown__,1690.0,tbsinfluencers
173,mk.schmittou,1672.0,tbsinfluencers
174,isabelhartzell,1668.0,tbsinfluencers
175,ashley_green999,1646.0,tbsinfluencers
176,arianna.xavier,1636.0,tbsinfluencers
177,trisha.lee,1626.0,tbsinfluencers
178,itspaypayy,1610.0,tbsinfluencers
179,angthebudgetbarbie,1603.0,tbsinfluencers
180,arianap.x,1577.0,tbsinfluencers
181,bootybastian,1576.0,tbsinfluencers
182,rr.eg,1565.0,tbsinfluencers
183,kayla.bransted,1550.0,tbsinfluencers
184,isabellaurennn,1543.0,tbsinfluencers
185,jaythesunray,1542.0,tbsinfluencers
186,juliaalonzo,1540.0,tbsinfluencers
187,ajohnson_80,1524.0,tbsinfluencers
188,laneygrn,1521.0,tbsinfluencers
189,thekennedyaaliyah,1511.0,tbsinfluencers
190,loskuangeles,1507.0,tbsinfluencers
